0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.290215599239061532e+02 1.853684210526315894e+02 8.206150919467343385e+01
1.343811154598825830e+00 5.010114970645792454e+01 1.000000000000000000e+00
2.540219206680584421e+02 2.524018789144050174e+02 2.512620041753653481e+02
7.295531400966183355e+01 1.416987577639751521e+02 4.585921325051759978e-01
3.256246677299309056e+01 1.160451887293992570e+02 1.000000000000000000e+00
1.000000000000000000e+00 2.103983568642341950e+01 1.000000000000000000e+00
1.516485677640017116e+02 1.817563061137238094e+02 2.406241983753740854e+01
1.065330480266286202e+02 1.626733238231098539e+02 1.169915993025836043e+00
2.675008812125484692e+00 8.294236869933027378e+01 4.169897779344378108e-01
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
